Template,Q,QNER,QNE,QURI,RP,ANE,AURI
ویرایشگر اثر  <ENT> کیست ؟,ویرایشگر اثر پسرها کیست ؟,"[('ویرایشگر', 'O'), ('اثر', 'O'), ('پسرها', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",پسرها,['http://fkg.iust.ac.ir/resource/پسرها_(فیلم_۲۰۰۳)'],ns0__editing,['وی  تی  ویجایان'],['http://fkg.iust.ac.ir/resource/وی._تی._ویجایان']
<ENT> از چه گروهی است ؟, شاپرک‌های لیمویی از چه گروهی است ؟,"[('شاپرک\u200cهای', 'B_ent'), ('لیمویی', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",شاپرک‌های لیمویی,['http://fkg.iust.ac.ir/resource/شاپرک\u200cهای_لیمویی'],ns0__order_&_ns0__family_&_ns0__genus,"['پروانه سانان', 'ابریشمی واران']","['http://fkg.iust.ac.ir/resource/پروانه\u200cسانان', 'http://fkg.iust.ac.ir/resource/ابریشمی\u200cواران']"
<ENT> به چه جنسی تعلق دارد ؟, آرگاس ایرانی به چه جنسی تعلق دارد ؟,"[('آرگاس', 'B_ent'), ('ایرانی', 'I_ent'), ('به', 'O'), ('چه', 'O'), ('جنسی', 'O'), ('تعلق', 'O'), ('دارد', 'O'), ('؟', 'O')]",آرگاس ایرانی,['http://fkg.iust.ac.ir/resource/آرگاس_ایرانی'],ns0__order_&_ns0__family_&_ns0__genus,"['کنه', 'انگل شکلان', 'آرگازیده', 'آرگاس']","['http://fkg.iust.ac.ir/resource/کنه', 'http://fkg.iust.ac.ir/resource/انگل\u200cشکلان', 'http://fkg.iust.ac.ir/resource/آرگازیده', 'http://fkg.iust.ac.ir/resource/آرگاس']"
آهنگسازی آهنگ  <ENT>  به عهده ی چه کسی بوده؟,آهنگسازی آهنگ آربیتراژ به عهده ی چه کسی بوده؟,"[('آهنگسازی', 'O'), ('آهنگ', 'O'), ('آربیتراژ', 'B_ent'), ('به', 'O'), ('عهده', 'O'), ('ی', 'O'), ('چه', 'O'), ('کسی', 'O'), ('بوده؟', 'O')]",آربیتراژ,['http://fkg.iust.ac.ir/resource/آربیتراژ_(فیلم)'],ns0__musicComposer,['کلیف مارتینز'],['http://fkg.iust.ac.ir/resource/کلیف_مارتینز']
<ENT> از توابع کدام شهر است ؟, پشتو از توابع کدام شهر است ؟,"[('پشتو', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",پشتو,['http://fkg.iust.ac.ir/resource/پشتو_(رودان)'],ns0__village,['شهرستان رودان'],['http://fkg.iust.ac.ir/resource/شهرستان_رودان']
<ENT> چه کسی را به عنوان جانشین داشته است ؟, رانی جانسی چه کسی را به عنوان جانشین داشته است ؟,"[('رانی', 'B_ent'), ('جانسی', 'I_ent'), ('چه', 'O'), ('کسی', 'O'), ('را', 'O'), ('به', 'O'), ('عنوان', 'O'), ('جانشین', 'O'), ('داشته', 'O'), ('است', 'O'), ('؟', 'O')]",رانی جانسی,['http://fkg.iust.ac.ir/resource/رانی_جانسی'],ns0__successor,['راج بریتانیا'],['http://fkg.iust.ac.ir/resource/راج_بریتانیا']
<ENT> چه کسی را به عنوان جانشین داشته است ؟, دوج داینستی چه کسی را به عنوان جانشین داشته است ؟,"[('دوج', 'B_ent'), ('داینستی', 'I_ent'), ('چه', 'O'), ('کسی', 'O'), ('را', 'O'), ('به', 'O'), ('عنوان', 'O'), ('جانشین', 'O'), ('داشته', 'O'), ('است', 'O'), ('؟', 'O')]",دوج داینستی,['http://fkg.iust.ac.ir/resource/دوج_داینستی'],ns0__successor,['دوج اینترپید'],['http://fkg.iust.ac.ir/resource/دوج_اینترپید']
چه کسی  <ENT> را ساخته است ؟,چه کسی استاد مست ۲ را ساخته است ؟,"[('چه', 'O'), ('کسی', 'O'), ('استاد', 'B_ent'), ('مست', 'I_ent'), ('۲', 'I_ent'), ('را', 'O'), ('ساخته', 'O'), ('است', 'O'), ('؟', 'O')]",استاد مست ۲,['http://fkg.iust.ac.ir/resource/استاد_مست_۲'],ns0__director,"['Lau Kar Leung', 'جکی چان']","['http://fkg.iust.ac.ir/resource/Lau_Kar-Leung', 'http://fkg.iust.ac.ir/resource/جکی_چان']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در راش نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('راش', 'B_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",راش,"['http://fkg.iust.ac.ir/resource/راش_(فیلم_۲۰۱۲)', 'http://fkg.iust.ac.ir/resource/راش_(فیلم_۱۹۹۱)']",ns0__starring,"['عمران هاشمی', 'Rahul Singh', 'نیها دوپیا', 'Sagarika Ghatge', 'آدیتای پانچولی', 'ویلیام سدلر  هنرپیشه', 'جیسون پاتریک', 'سام الیوت', 'Tony Frank', 'مکس پرلیچ', 'جنیفر جیسن لی', 'گرگ آلمن', 'توماس روسالس']","['http://fkg.iust.ac.ir/resource/عمران_هاشمی', 'http://fkg.iust.ac.ir/resource/Rahul_Singh', 'http://fkg.iust.ac.ir/resource/نیها_دوپیا', 'http://fkg.iust.ac.ir/resource/Sagarika_Ghatge', 'http://fkg.iust.ac.ir/resource/آدیتای_پانچولی', 'http://fkg.iust.ac.ir/resource/ویلیام_سدلر_(هنرپیشه)', 'http://fkg.iust.ac.ir/resource/جیسون_پاتریک', 'http://fkg.iust.ac.ir/resource/سام_الیوت', 'http://fkg.iust.ac.ir/resource/Tony_Frank', 'http://fkg.iust.ac.ir/resource/مکس_پرلیچ', 'http://fkg.iust.ac.ir/resource/جنیفر_جیسن_لی', 'http://fkg.iust.ac.ir/resource/گرگ_آلمن', 'http://fkg.iust.ac.ir/resource/توماس_روسالس']"
<ENT> در کجا به دنیا امده است؟, وندی واگنر در کجا به دنیا امده است؟,"[('وندی', 'B_ent'), ('واگنر', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",وندی واگنر,['http://fkg.iust.ac.ir/resource/وندی_واگنر'],ns0__birthPlace,['نیو لاندن  کنتیکت'],['http://fkg.iust.ac.ir/resource/نیو_لاندن،_کنتیکت']
<ENT> در کجا به دنیا امده است؟, ری بولگر در کجا به دنیا امده است؟,"[('ری', 'B_ent'), ('بولگر', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",ری بولگر,['http://fkg.iust.ac.ir/resource/ری_بولگر'],ns0__birthPlace,"['ایالات متحده آمریکا', 'دورچستر  بوستون']","['http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا', 'http://fkg.iust.ac.ir/resource/دورچستر،_بوستون']"
<ENT> از توابع کدام شهر است ؟, ریسن از توابع کدام شهر است ؟,"[('ریسن', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",ریسن,['http://fkg.iust.ac.ir/resource/ریسن'],ns0__village,['شهرستان رودسر'],['http://fkg.iust.ac.ir/resource/شهرستان_رودسر']
<ENT> جایگزین کیست ؟, لانچیا تما جایگزین کیست ؟,"[('لانچیا', 'B_ent'), ('تما', 'I_ent'), ('جایگزین', 'O'), ('کیست', 'O'), ('؟', 'O')]",لانچیا تما,['http://fkg.iust.ac.ir/resource/لانچیا_تما'],ns0__predecessor,['لانچیا گاما'],['http://fkg.iust.ac.ir/resource/لانچیا_گاما']
محل مرگ  <ENT>   کجاست ؟,محل مرگ نینون سویا کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('نینون', 'B_ent'), ('سویا', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",نینون سویا,['http://fkg.iust.ac.ir/resource/نینون_سویا'],ns0__deathPlace,['مکزیکو سیتی'],['http://fkg.iust.ac.ir/resource/مکزیکو_سیتی']
<ENT> ملیتش چیه ؟, آنتونیو جیانینی ملیتش چیه ؟,"[('آنتونیو', 'B_ent'), ('جیانینی', 'I_ent'), ('ملیتش', 'O'), ('چیه', 'O'), ('؟', 'O')]",آنتونیو جیانینی,['http://fkg.iust.ac.ir/resource/آنتونیو_جیانینی'],ns0__nationality,['ونزوئلا'],['http://fkg.iust.ac.ir/resource/ونزوئلا']
کارگردان  <ENT> کیست ؟,کارگردان لانه کیست ؟,"[('کارگردان', 'O'), ('لانه', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",لانه,['http://fkg.iust.ac.ir/resource/لانه_(فیلم_۱۹۲۷)'],ns0__director,['ویلیام نای'],['http://fkg.iust.ac.ir/resource/ویلیام_نای']
<ENT> در کجا دار فانی را وداع گفته است ؟, ویلیام براینت در کجا دار فانی را وداع گفته است ؟,"[('ویلیام', 'B_ent'), ('براینت', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('دار', 'O'), ('فانی', 'O'), ('را', 'O'), ('وداع', 'O'), ('گفته', 'O'), ('است', 'O'), ('؟', 'O')]",ویلیام براینت,['http://fkg.iust.ac.ir/resource/ویلیام_براینت_(هنرپیشه)'],ns0__deathPlace,"['ایالات متحده آمریکا', 'لس آنجلس', 'کالیفرنیا']","['http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا', 'http://fkg.iust.ac.ir/resource/لس_آنجلس', 'http://fkg.iust.ac.ir/resource/کالیفرنیا']"
زادگاه  <ENT> کجاست ؟‌,زادگاه لادیسلائو وایدا کجاست ؟‌,"[('زادگاه', 'O'), ('لادیسلائو', 'B_ent'), ('وایدا', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",لادیسلائو وایدا,['http://fkg.iust.ac.ir/resource/لادیسلائو_وایدا'],ns0__birthPlace,"['بوداپست', 'مجارستان']","['http://fkg.iust.ac.ir/resource/بوداپست', 'http://fkg.iust.ac.ir/resource/مجارستان']"
<ENT> به چه جنسی تعلق دارد ؟, لاله واژگون برنجی به چه جنسی تعلق دارد ؟,"[('لاله', 'B_ent'), ('واژگون', 'I_ent'), ('برنجی', 'I_ent'), ('به', 'O'), ('چه', 'O'), ('جنسی', 'O'), ('تعلق', 'O'), ('دارد', 'O'), ('؟', 'O')]",لاله واژگون برنجی,['http://fkg.iust.ac.ir/resource/لاله_واژگون_برنجی'],ns0__order_&_ns0__family_&_ns0__genus,"['سوسن سانان', 'سوسنیان', 'لاله واژگون']","['http://fkg.iust.ac.ir/resource/سوسن\u200cسانان', 'http://fkg.iust.ac.ir/resource/سوسنیان', 'http://fkg.iust.ac.ir/resource/لاله_واژگون']"
چه کسی  <ENT> را ساخته است ؟,چه کسی رابین هود را ساخته است ؟,"[('چه', 'O'), ('کسی', 'O'), ('رابین', 'B_ent'), ('هود', 'I_ent'), ('را', 'O'), ('ساخته', 'O'), ('است', 'O'), ('؟', 'O')]",رابین هود,['http://fkg.iust.ac.ir/resource/رابین_هود_(فیلم_۲۰۱۰)'],ns0__director,['ریدلی اسکات'],['http://fkg.iust.ac.ir/resource/ریدلی_اسکات']
<ENT> جای چه کسی را گرفت ؟, ریچارد لوگر جای چه کسی را گرفت ؟,"[('ریچارد', 'B_ent'), ('لوگر', 'I_ent'), ('جای', 'O'), ('چه', 'O'), ('کسی', 'O'), ('را', 'O'), ('گرفت', 'O'), ('؟', 'O')]",ریچارد لوگر,['http://fkg.iust.ac.ir/resource/ریچارد_لوگر'],ns0__predecessor,['ونس هارتکه'],['http://fkg.iust.ac.ir/resource/ونس_هارتکه']
<ENT> کجا ساکن است؟, بیل پسی کجا ساکن است؟,"[('بیل', 'B_ent'), ('پسی', 'I_ent'), ('کجا', 'O'), ('ساکن', 'O'), ('است؟', 'O')]",بیل پسی,['http://fkg.iust.ac.ir/resource/بیل_پسی'],ns0__residence,['راک لج  فلوریدا'],['http://fkg.iust.ac.ir/resource/راک\u200cلج،_فلوریدا']
چه کسی تدوین  <ENT> را بر عهده داشت ؟,چه کسی تدوین شهر در دست بچه‌ها را بر عهده داشت ؟,"[('چه', 'O'), ('کسی', 'O'), ('تدوین', 'O'), ('شهر', 'B_ent'), ('در', 'I_ent'), ('دست', 'I_ent'), ('بچه\u200cها', 'I_ent'), ('را', 'O'), ('بر', 'O'), ('عهده', 'O'), ('داشت', 'O'), ('؟', 'O')]",شهر در دست بچه‌ها,['http://fkg.iust.ac.ir/resource/شهر_در_دست_بچه\u200cها'],ns0__editing,['ابراهیم کیهانی'],['http://fkg.iust.ac.ir/resource/ابراهیم_کیهانی']
<ENT> در چه دسته ای قرار می گیرد ؟, شهد خوار ویگور در چه دسته ای قرار می گیرد ؟,"[('شهد', 'B_ent'), ('خوار', 'I_ent'), ('ویگور', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",شهد خوار ویگور,['http://fkg.iust.ac.ir/resource/شهد_خوار_ویگور'],ns0__order_&_ns0__family_&_ns0__genus,"['گنجشک سانان', 'شهدخواران', 'شهد خواران درخشان']","['http://fkg.iust.ac.ir/resource/گنجشک\u200cسانان', 'http://fkg.iust.ac.ir/resource/شهدخواران', 'http://fkg.iust.ac.ir/resource/شهد_خواران_درخشان']"
<ENT> در کجا متولد شد ؟, تیم کلارک در کجا متولد شد ؟,"[('تیم', 'B_ent'), ('کلارک', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",تیم کلارک,['http://fkg.iust.ac.ir/resource/تیم_کلارک'],ns0__birthPlace,"['آروبا', 'آنتیل هلند']","['http://fkg.iust.ac.ir/resource/آروبا', 'http://fkg.iust.ac.ir/resource/آنتیل_هلند']"
<ENT> در چه منطقه ای است ؟, کلوار در چه منطقه ای است ؟,"[('کلوار', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",کلوار,['http://fkg.iust.ac.ir/resource/کلوار_(دلفان)'],ns0__location_&_ns0__district_&_ns0__part,"['استان لرستان', 'بخش کاکاوند']","['http://fkg.iust.ac.ir/resource/استان_لرستان', 'http://fkg.iust.ac.ir/resource/بخش_کاکاوند']"
<ENT> در چه شهری قرار دارد ؟, شاه‌ملکی در چه شهری قرار دارد ؟,"[('شاه\u200cملکی', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",شاه‌ملکی,['http://fkg.iust.ac.ir/resource/شاه\u200cملکی'],ns0__location_&_ns0__district_&_ns0__part,"['استان کرمانشاه', 'بخش مرکزی شهرستان کرمانشاه']","['http://fkg.iust.ac.ir/resource/استان_کرمانشاه', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_کرمانشاه']"
<ENT> در کجا به دنیا امده است؟, استفان هولم در کجا به دنیا امده است؟,"[('استفان', 'B_ent'), ('هولم', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",استفان هولم,['http://fkg.iust.ac.ir/resource/استفان_هولم'],ns0__birthPlace,"['فوخشهاگه', 'شهرستان ورملاند']","['http://fkg.iust.ac.ir/resource/فوخشهاگه', 'http://fkg.iust.ac.ir/resource/شهرستان_ورملاند']"
<ENT> در کجا متولد شد ؟, آرتور ایبتسون در کجا متولد شد ؟,"[('آرتور', 'B_ent'), ('ایبتسون', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",آرتور ایبتسون,['http://fkg.iust.ac.ir/resource/آرتور_ایبتسون'],ns0__birthPlace,"['کانتی دورهام', 'بیشاپ اوکلند']","['http://fkg.iust.ac.ir/resource/کانتی_دورهام', 'http://fkg.iust.ac.ir/resource/بیشاپ_اوکلند']"
<ENT> در کجا قرار دارد ؟, وینگز آو لبنان در کجا قرار دارد ؟,"[('وینگز', 'B_ent'), ('آو', 'I_ent'), ('لبنان', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",وینگز آو لبنان,['http://fkg.iust.ac.ir/resource/وینگز_آو_لبنان'],ns0__location_&_ns0__district_&_ns0__part,"['بیروت', 'لبنان']","['http://fkg.iust.ac.ir/resource/بیروت', 'http://fkg.iust.ac.ir/resource/لبنان']"
<ENT> از توابع کدام شهر است ؟, ابوالفتح‌آباد از توابع کدام شهر است ؟,"[('ابوالفتح\u200cآباد', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",ابوالفتح‌آباد,['http://fkg.iust.ac.ir/resource/ابوالفتح\u200cآباد'],ns0__village,['شهرستان نهاوند'],['http://fkg.iust.ac.ir/resource/شهرستان_نهاوند']
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در نیمه گمشده نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('نیمه', 'B_ent'), ('گمشده', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",نیمه گمشده,['http://fkg.iust.ac.ir/resource/نیمه_گمشده'],ns0__starring,"['محمود مقامی', 'فرشته سرابندی', 'حمید آذرنگ', 'رامبد شکرآبی', 'سارا پرچم']","['http://fkg.iust.ac.ir/resource/محمود_مقامی', 'http://fkg.iust.ac.ir/resource/فرشته_سرابندی', 'http://fkg.iust.ac.ir/resource/حمید_آذرنگ', 'http://fkg.iust.ac.ir/resource/رامبد_شکرآبی', 'http://fkg.iust.ac.ir/resource/سارا_پرچم']"
<ENT> در کجا متولد شد ؟, گیلفی سیگردسون در کجا متولد شد ؟,"[('گیلفی', 'B_ent'), ('سیگردسون', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",گیلفی سیگردسون,['http://fkg.iust.ac.ir/resource/گیلفی_سیگردسون'],ns0__birthPlace,"['ریکیاویک', 'ایسلند']","['http://fkg.iust.ac.ir/resource/ریکیاویک', 'http://fkg.iust.ac.ir/resource/ایسلند']"
<ENT> چه ساز موسیقی  را خوب می‌ نوازد ؟, بیگ بیت چه ساز موسیقی را خوب می‌ نوازد ؟,"[('بیگ', 'B_ent'), ('بیت', 'I_ent'), ('چه', 'O'), ('ساز', 'O'), ('موسیقی', 'O'), ('را', 'O'), ('خوب', 'O'), ('می\u200c', 'O'), ('نوازد', 'O'), ('؟', 'O')]",بیگ بیت,['http://fkg.iust.ac.ir/resource/بیگ_بیت'],ns0__instrument,"['گیتار بیس', 'سینث سایزر', 'تِرن تِیبِل', 'گیتار الکتریک', 'سیکوئِنسر', 'ماشین درام', 'ساز کلیدی', 'درام  ساز', 'افکت دیجیتال', 'سمپلر']","['http://fkg.iust.ac.ir/resource/گیتار_بیس', 'http://fkg.iust.ac.ir/resource/سینث\u200cسایزر', 'http://fkg.iust.ac.ir/resource/تِرن_تِیبِل', 'http://fkg.iust.ac.ir/resource/گیتار_الکتریک', 'http://fkg.iust.ac.ir/resource/سیکوئِنسر', 'http://fkg.iust.ac.ir/resource/ماشین_درام', 'http://fkg.iust.ac.ir/resource/ساز_کلیدی', 'http://fkg.iust.ac.ir/resource/درام_(ساز)', 'http://fkg.iust.ac.ir/resource/افکت_دیجیتال', 'http://fkg.iust.ac.ir/resource/سمپلر']"
<ENT> از توابع کدام شهر است ؟, بیرداد از توابع کدام شهر است ؟,"[('بیرداد', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",بیرداد,['http://fkg.iust.ac.ir/resource/بیرداد'],ns0__village,['شهرستان روانسر'],['http://fkg.iust.ac.ir/resource/شهرستان_روانسر']
<ENT> از توابع کدام شهر است ؟, گلی‌آباد از توابع کدام شهر است ؟,"[('گلی\u200cآباد', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",گلی‌آباد,['http://fkg.iust.ac.ir/resource/گلی\u200cآباد'],ns0__village,['شهرستان زرند'],['http://fkg.iust.ac.ir/resource/شهرستان_زرند']
<ENT> در چه دسته ای قرار می گیرد ؟, ریش‌مرغ گندمی در چه دسته ای قرار می گیرد ؟,"[('ریش\u200cمرغ', 'B_ent'), ('گندمی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",ریش‌مرغ گندمی,['http://fkg.iust.ac.ir/resource/ریش\u200cمرغ_گندمی'],ns0__order_&_ns0__family_&_ns0__genus,"['دارکوب سانان', 'ریش مرغان آمریکایی', 'Capito']","['http://fkg.iust.ac.ir/resource/دارکوب\u200cسانان', 'http://fkg.iust.ac.ir/resource/ریش\u200cمرغان_آمریکایی', 'http://fkg.iust.ac.ir/resource/Capito']"
<ENT> در کجا متولد شد ؟, ریکاردو لا ولپ در کجا متولد شد ؟,"[('ریکاردو', 'B_ent'), ('لا', 'I_ent'), ('ولپ', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",ریکاردو لا ولپ,['http://fkg.iust.ac.ir/resource/ریکاردو_لا_ولپ'],ns0__birthPlace,"['بوئنوس آیرس', 'آرژانتین']","['http://fkg.iust.ac.ir/resource/بوئنوس_آیرس', 'http://fkg.iust.ac.ir/resource/آرژانتین']"
<ENT> در کجا دار فانی را وداع گفته است ؟, لان چینی در کجا دار فانی را وداع گفته است ؟,"[('لان', 'B_ent'), ('چینی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('دار', 'O'), ('فانی', 'O'), ('را', 'O'), ('وداع', 'O'), ('گفته', 'O'), ('است', 'O'), ('؟', 'O')]",لان چینی,['http://fkg.iust.ac.ir/resource/لان_چینی'],ns0__deathPlace,"['کالیفرنیا', 'لس آنجلس']","['http://fkg.iust.ac.ir/resource/کالیفرنیا', 'http://fkg.iust.ac.ir/resource/لس_آنجلس']"
<ENT> به کدام تیره تعلق دارد؟, استرپتوکوک راتی به کدام تیره تعلق دارد؟,"[('استرپتوکوک', 'B_ent'), ('راتی', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",استرپتوکوک راتی,['http://fkg.iust.ac.ir/resource/استرپتوکوک_راتی'],ns0__order_&_ns0__family_&_ns0__genus,"['لاکتوباسیلالس', 'استرپتوکوکاسیه', 'استرپتوکوک']","['http://fkg.iust.ac.ir/resource/لاکتوباسیلالس', 'http://fkg.iust.ac.ir/resource/استرپتوکوکاسیه', 'http://fkg.iust.ac.ir/resource/استرپتوکوک']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ آرشیدوک اوتوی اتریش کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('آرشیدوک', 'B_ent'), ('اوتوی', 'I_ent'), ('اتریش', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",آرشیدوک اوتوی اتریش,['http://fkg.iust.ac.ir/resource/آرشیدوک_اوتوی_اتریش_(۱۸۶۵–۱۹۰۶)'],ns0__deathPlace,"['وین', 'اتریش مجارستان']","['http://fkg.iust.ac.ir/resource/وین', 'http://fkg.iust.ac.ir/resource/اتریش-مجارستان']"
ستاره معروف <ENT> کیست ؟,ستاره معروف شارلوت کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('شارلوت', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",شارلوت,['http://fkg.iust.ac.ir/resource/شارلوت_(فیلم_۱۹۷۴)'],ns0__starring,"['آنتونی استفن', 'Annie Noël', 'سیرپا لین', 'Thérèse Liotard', 'الکساندر آستروک', 'میشل دوشوسوآ', 'متیو کریر', 'Louis Arbessier', 'Sabine Glaser', 'Élisabeth Wiener', 'روژه وادیم']","['http://fkg.iust.ac.ir/resource/آنتونی_استفن', 'http://fkg.iust.ac.ir/resource/Annie_Noël', 'http://fkg.iust.ac.ir/resource/سیرپا_لین', 'http://fkg.iust.ac.ir/resource/Thérèse_Liotard', 'http://fkg.iust.ac.ir/resource/الکساندر_آستروک', 'http://fkg.iust.ac.ir/resource/میشل_دوشوسوآ', 'http://fkg.iust.ac.ir/resource/متیو_کریر', 'http://fkg.iust.ac.ir/resource/Louis_Arbessier', 'http://fkg.iust.ac.ir/resource/Sabine_Glaser', 'http://fkg.iust.ac.ir/resource/Élisabeth_Wiener', 'http://fkg.iust.ac.ir/resource/روژه_وادیم']"
پدید آورنده ی <ENT> کیست؟,پدید آورنده ی رهاندن کیست؟,"[('پدید', 'O'), ('آورنده', 'O'), ('ی', 'O'), ('رهاندن', 'B_ent'), ('کیست؟', 'O')]",رهاندن,['http://fkg.iust.ac.ir/resource/رهاندن_(فیلم)'],ns0__writer,['استیون گیگان'],['http://fkg.iust.ac.ir/resource/استیون_گیگان']
<ENT> در چه شهری قرار دارد ؟, علی‌آباد جوهری در چه شهری قرار دارد ؟,"[('علی\u200cآباد', 'B_ent'), ('جوهری', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",علی‌آباد جوهری,['http://fkg.iust.ac.ir/resource/علی\u200cآباد_جوهری'],ns0__location_&_ns0__district_&_ns0__part,"['استان فارس', 'بخش مرکزی شهرستان لامرد']","['http://fkg.iust.ac.ir/resource/استان_فارس', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_لامرد']"
<ENT> در چه منطقه ای است ؟, شاشکان در چه منطقه ای است ؟,"[('شاشکان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",شاشکان,['http://fkg.iust.ac.ir/resource/شاشکان'],ns0__location_&_ns0__district_&_ns0__part,"['بخش ریگان', 'استان کرمان']","['http://fkg.iust.ac.ir/resource/بخش_ریگان', 'http://fkg.iust.ac.ir/resource/استان_کرمان']"
<ENT> از توابع کدام شهر است ؟, کل ابچنار از توابع کدام شهر است ؟,"[('کل', 'B_ent'), ('ابچنار', 'I_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",کل ابچنار,['http://fkg.iust.ac.ir/resource/کل_ابچنار'],ns0__village,['شهرستان لردگان'],['http://fkg.iust.ac.ir/resource/شهرستان_لردگان']
<ENT> در چه شهری قرار دارد ؟, دوروزن‌آباد در چه شهری قرار دارد ؟,"[('دوروزن\u200cآباد', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",دوروزن‌آباد,['http://fkg.iust.ac.ir/resource/دوروزن\u200cآباد'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان کوهرنگ', 'بخش مرکزی شهرستان کوهرنگ']","['http://fkg.iust.ac.ir/resource/شهرستان_کوهرنگ', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_کوهرنگ']"
